-0.765,0.443,0.368,0.367,0.368,0.368,0.368,0.368,0.369,0.369,0.369
-0.748,0.418,0.344,0.343,0.344,0.344,0.345,0.345,0.345,0.345,0.345
-0.73,0.393,0.321,0.319,0.321,0.321,0.321,0.321,0.322,0.322,0.322
-0.711,0.369,0.298,0.296,0.298,0.298,0.299,0.299,0.299,0.299,0.299
-0.692,0.346,0.276,0.274,0.276,0.276,0.277,0.277,0.277,0.277,0.277
-0.672,0.323,0.254,0.252,0.254,0.255,0.255,0.255,0.255,0.256,0.256
-0.651,0.301,0.233,0.23,0.233,0.234,0.234,0.235,0.235,0.235,0.235
-0.629,0.28,0.212,0.209,0.213,0.213,0.214,0.214,0.214,0.215,0.215
-0.607,0.26,0.192,0.188,0.193,0.193,0.194,0.195,0.195,0.195,0.195
-0.585,0.24,0.172,0.167,0.173,0.174,0.175,0.176,0.176,0.176,0.176
-0.562,0.222,0.152,0.145,0.154,0.155,0.156,0.157,0.157,0.158,0.158
-0.538,0.204,0.131,0.123,0.135,0.136,0.138,0.139,0.139,0.14,0.14
-0.515,0.187,0.111,0.1,0.116,0.118,0.12,0.121,0.122,0.122,0.122
-0.49,0.177,0.0891,0.077,0.0574,0.0527,0.051,0.0502,0.05,0.0496,0.0496
-0.445,0.167,0.067,0.0951,0.0485,0.0452,0.0431,0.0428,0.0421,0.0419,0.0416
-0.398,0.155,0.0459,0.0473,0.0417,0.0388,0.037,0.0365,0.0358,0.0356,0.0352
-0.351,0.141,0.116,0.0414,0.0361,0.0333,0.0321,0.0313,0.0307,0.0302,0.0299
-0.305,0.126,0.0478,0.0363,0.0318,0.0294,0.0278,0.027,0.0263,0.0259,0.0254
-0.242,0.111,0.041,0.032,0.0283,0.026,0.0245,0.0235,0.0227,0.0221,0.0217
-0.169,0.0988,0.038,0.0288,0.0253,0.0232,0.0218,0.0207,0.02,0.0193,0.0187
-0.0374,0.0879,0.0365,0.027,0.0235,0.0211,0.0194,0.0183,0.0175,0.0169,0.0164
0.0134,0.0788,0.0367,0.0267,0.022,0.0194,0.0179,0.0168,0.016,0.0154,0.0149
0.064,0.0739,0.0492,0.0299,0.023,0.0193,0.0173,0.016,0.0151,0.0144,0.0139
0.0916,0.0737,0.0515,0.036,0.0259,0.0214,0.0182,0.0163,0.015,0.014,0.0133
0.0542,0.0578,0.0512,0.0398,0.0299,0.0245,0.0206,0.0179,0.0162,0.0148,0.0138
0.0189,0.0507,0.0503,0.0407,0.0327,0.0267,0.0226,0.0197,0.0178,0.0162,0.0149
-0.00563,0.0489,0.0491,0.0406,0.0337,0.028,0.0244,0.0214,0.0191,0.0174,0.0162
-0.0229,0.0497,0.0479,0.0405,0.034,0.029,0.0254,0.0225,0.0202,0.0186,0.0173
-0.0355,0.052,0.0469,0.0399,0.0338,0.029,0.0257,0.0232,0.0209,0.0195,0.018
-0.0452,0.0567,0.0465,0.039,0.0331,0.029,0.0258,0.0234,0.0213,0.0199,0.0185
-0.0526,0.0631,0.047,0.0385,0.0323,0.0284,0.0256,0.0233,0.0216,0.02,0.0189
-0.0582,0.07,0.0487,0.0374,0.0318,0.0278,0.0252,0.0231,0.0215,0.0202,0.0189
-0.0624,0.0776,0.05,0.0374,0.0308,0.0274,0.0249,0.023,0.0214,0.0201,0.019
-0.0647,0.0849,0.0554,0.0378,0.0306,0.0269,0.0245,0.0227,0.0212,0.02,0.0189
-0.0584,0.0906,0.0614,0.0382,0.0304,0.0267,0.0243,0.0225,0.0211,0.0199,0.0189
-0.0243,0.0944,0.0758,0.039,0.0302,0.0264,0.0241,0.0224,0.0211,0.02,0.019
0.0277,0.101,0.0857,0.0399,0.0301,0.0265,0.0243,0.0227,0.0215,0.0205,0.0197
0.156,0.111,0.103,0.0408,0.0304,0.027,0.025,0.0237,0.0226,0.0217,0.021
0.246,0.123,0.13,0.0417,0.0314,0.0284,0.0265,0.0253,0.0243,0.0235,0.0227
0.321,0.134,0.168,0.0181,0.0334,0.0308,0.0289,0.0276,0.0266,0.0257,0.025
0.386,0.146,0.21,0.0244,0.0378,0.0337,0.0318,0.0305,0.0295,0.0287,0.0281
0.44,0.16,0.228,0.0359,0.0435,0.0375,0.0355,0.0345,0.0335,0.0331,0.0325
0.496,0.171,0.218,0.0527,0.0539,0.044,0.0412,0.0396,0.0392,0.0388,0.0388
0.55,0.185,0.179,0.073,0.0623,0.0523,0.0466,0.0469,0.046,0.0463,0.0456
0.57,0.195,0.126,0.0949,0.0707,0.053,0.0543,0.0602,0.0619,0.0637,0.0641
0.59,0.212,0.143,0.117,0.0943,0.0749,0.0765,0.0828,0.0854,0.0866,0.087
0.61,0.229,0.16,0.139,0.119,0.0999,0.102,0.108,0.111,0.111,0.112
0.63,0.248,0.177,0.161,0.144,0.126,0.128,0.134,0.137,0.137,0.137
0.65,0.267,0.196,0.183,0.169,0.153,0.155,0.159,0.163,0.162,0.162
0.67,0.288,0.215,0.205,0.193,0.18,0.181,0.185,0.188,0.187,0.187
0.689,0.309,0.235,0.227,0.217,0.206,0.207,0.21,0.213,0.212,0.212
0.708,0.33,0.256,0.249,0.241,0.231,0.233,0.235,0.238,0.237,0.237
0.726,0.353,0.278,0.272,0.265,0.257,0.258,0.26,0.262,0.261,0.261
0.743,0.376,0.3,0.295,0.289,0.282,0.283,0.285,0.287,0.286,0.286
0.76,0.4,0.322,0.319,0.313,0.308,0.308,0.31,0.312,0.311,0.311
0.777,0.425,0.346,0.342,0.338,0.333,0.334,0.335,0.336,0.336,0.336
0.792,0.45,0.37,0.367,0.363,0.359,0.36,0.36,0.362,0.361,0.361
0.807,0.476,0.394,0.392,0.388,0.385,0.385,0.386,0.387,0.387,0.387
0.821,0.502,0.419,0.417,0.414,0.411,0.412,0.412,0.413,0.413,0.413
0.834,0.529,0.445,0.443,0.44,0.438,0.438,0.439,0.44,0.439,0.439
0.847,0.557,0.471,0.469,0.467,0.464,0.465,0.465,0.466,0.466,0.466
0.858,0.585,0.497,0.496,0.494,0.492,0.492,0.492,0.493,0.493,0.493
0.869,0.613,0.524,0.523,0.521,0.519,0.519,0.52,0.52,0.52,0.52
0.878,0.642,0.551,0.55,0.548,0.547,0.547,0.547,0.548,0.547,0.548
0.887,0.671,0.579,0.578,0.576,0.575,0.575,0.575,0.576,0.575,0.575
0.895,0.7,0.606,0.606,0.604,0.603,0.603,0.603,0.604,0.604,0.604
0.901,0.73,0.635,0.634,0.633,0.631,0.632,0.632,0.632,0.632,0.632
0.907,0.76,0.663,0.662,0.661,0.66,0.66,0.66,0.661,0.661,0.661
0.912,0.79,0.691,0.691,0.69,0.689,0.689,0.689,0.69,0.689,0.689
0.915,0.82,0.72,0.72,0.719,0.718,0.718,0.718,0.719,0.718,0.718
0.918,0.851,0.749,0.749,0.748,0.747,0.747,0.747,0.748,0.747,0.747
0.92,0.881,0.778,0.778,0.777,0.776,0.776,0.776,0.777,0.777,0.777
0.92,0.912,0.807,0.807,0.806,0.805,0.806,0.806,0.806,0.806,0.806
0.92,0.943,0.836,0.836,0.835,0.835,0.835,0.835,0.835,0.835,0.835
0.918,0.973,0.865,0.865,0.865,0.864,0.864,0.864,0.864,0.864,0.864
0.915,1,0.894,0.894,0.894,0.893,0.893,0.893,0.894,0.893,0.893
0.912,1.03,0.923,0.923,0.923,0.922,0.922,0.922,0.923,0.922,0.922
0.907,1.06,0.952,0.952,0.952,0.951,0.951,0.951,0.952,0.951,0.951
0.901,1.1,0.981,0.981,0.98,0.98,0.98,0.98,0.98,0.98,0.98
0.895,1.13,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
0.887,1.15,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
0.878,1.18,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07
0.868,1.21,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09
